日期,地点名称,经度,纬度,区域,类型,时间段,情绪值
2024-02-01,淄博市中心医院住院一部,117.975604,36.809321,其他,医院,深夜,4.39
2024-02-01,淄博市中心医院住院一部,117.975604,36.809321,其他,医院,凌晨,2.23
2024-02-01,淄博工业学校梧台校区,118.302241,36.885074,其他,学校,凌晨,4.96
2024-02-01,淄博工业学校梧台校区,118.302241,36.885074,其他,学校,上午,6.86
2024-02-01,古茗(淄博实验中学店),118.005919,36.804433,其他,餐饮,傍晚,6.28
2024-02-01,古茗(淄博实验中学店),118.005919,36.804433,其他,餐饮,下午,5.66
2024-02-01,黄桑别院,118.025778,36.812851,其他,餐饮,晚上,6.0
2024-02-01,黄桑别院,118.025778,36.812851,其他,餐饮,傍晚,7.64
2024-02-01,湖田考场,118.11584,36.795345,其他,文化场馆,晚上,3.92
2024-02-01,王士禛纪念馆,117.943453,36.9516,其他,旅游景点,凌晨,2.96
2024-02-01,王士禛纪念馆,117.943453,36.9516,其他,旅游景点,中午,5.64
2024-02-01,红樱桃时尚购物广场(振华商厦店),118.055728,36.802018,其他,商场,深夜,2.85
2024-02-01,红樱桃时尚购物广场(振华商厦店),118.055728,36.802018,其他,商场,凌晨,3.72
2024-02-01,大红门烧烤(店子村),117.992985,36.903908,其他,餐饮,中午,5.37
2024-02-01,大红门烧烤(店子村),117.992985,36.903908,其他,餐饮,凌晨,4.05
2024-02-01,萌水医院,117.921402,36.727733,其他,医院,深夜,3.76
2024-02-01,萌水医院,117.921402,36.727733,其他,医院,中午,4.8
2024-02-01,马尚中心卫生院,117.995696,36.81971,其他,医院,凌晨,3.21
2024-02-01,马尚中心卫生院,117.995696,36.81971,其他,医院,上午,5.77
2024-02-01,樵岭前风景区-博山溶洞,117.827216,36.447454,其他,旅游景点,中午,3.57
2024-02-01,沈家村哪吒墙画,117.847973,36.855279,其他,旅游景点,晚上,4.82
2024-02-01,米村拌饭(茂业百货时代店),118.295975,36.817475,其他,餐饮,凌晨,4.34
2024-02-01,米村拌饭(茂业百货时代店),118.295975,36.817475,其他,餐饮,傍晚,6.14
2024-02-01,高青万福源购物中心,117.846474,37.165437,其他,商场,凌晨,5.4
2024-02-01,高青万福源购物中心,117.846474,37.165437,其他,商场,晚上,6.55
