日期,地点名称,经度,纬度,区域,类型,时间段,情绪值
2024-01-01,天玑阁,117.945775,37.186481,其他,旅游景点,深夜,5.64
2024-01-01,天玑阁,117.945775,37.186481,其他,旅游景点,中午,6.53
2024-01-01,博山羽毛球运动中心,117.832353,36.514638,其他,体育场馆,中午,7.36
2024-01-01,博山羽毛球运动中心,117.832353,36.514638,其他,体育场馆,上午,6.52
2024-01-01,清真双盛馆,118.196175,36.805724,其他,餐饮,傍晚,8.02
2024-01-01,清真双盛馆,118.196175,36.805724,其他,餐饮,晚上,5.42
2024-01-01,河南村党建文化广场,117.9315,36.500416,其他,公园,傍晚,7.79
2024-01-01,淄博北站北广场,118.026254,36.898065,其他,公园,深夜,5.43
2024-01-01,淄博北站北广场,118.026254,36.898065,其他,公园,下午,6.46
2024-01-01,张店区大拿乔氏台球厅,118.035919,36.830971,其他,体育场馆,上午,7.55
2024-01-01,张店区大拿乔氏台球厅,118.035919,36.830971,其他,体育场馆,凌晨,5.19
2024-01-01,黑咖空间健身馆,118.002446,36.841283,其他,体育场馆,下午,6.68
2024-01-01,lv台球器材店,118.023503,36.793153,其他,体育场馆,上午,6.27
2024-01-01,lv台球器材店,118.023503,36.793153,其他,体育场馆,深夜,5.78
2024-01-01,雪宫小学,118.303573,36.818514,其他,学校,凌晨,4.08
2024-01-01,金百盛商场,117.854008,36.794975,其他,商场,深夜,3.22
2024-01-01,沂源县大张庄中学,118.031824,36.045896,其他,学校,下午,6.12
2024-01-01,九顶莲花山弥陀寺,118.377441,36.004485,其他,旅游景点,晚上,4.29
2024-01-01,九顶莲花山弥陀寺,118.377441,36.004485,其他,旅游景点,深夜,5.81
2024-01-01,闻韶园,118.307337,36.816489,其他,公园,晚上,5.68
2024-01-01,王母祠,118.003392,36.707352,其他,旅游景点,傍晚,7.76
2024-01-01,齐德学校,117.989599,36.803053,其他,学校,晚上,5.26
2024-01-01,临淄区道德主题公园,118.303875,36.819506,其他,公园,中午,7.49
2024-01-01,九号台球(银座商城店),117.840632,37.164546,其他,体育场馆,下午,7.62
2024-01-01,淄博高新区实验中学,118.128522,36.830556,其他,学校,中午,6.29
2024-01-01,淄博高新区实验中学,118.128522,36.830556,其他,学校,晚上,4.53
2024-01-01,禹王山林区,117.780704,36.482885,其他,旅游景点,凌晨,3.92
2024-01-01,九合台球俱乐部(凤阳大厦店),118.042796,36.801969,其他,体育场馆,凌晨,5.93
2024-01-01,望春山,118.078956,36.949125,其他,旅游景点,深夜,5.84
2024-01-01,望春山,118.078956,36.949125,其他,旅游景点,晚上,7.41
2024-01-01,闯山东铁锅炖(天隆购物广场店),117.860416,36.503609,其他,餐饮,傍晚,6.59
2024-01-01,闯山东铁锅炖(天隆购物广场店),117.860416,36.503609,其他,餐饮,深夜,5.73
2024-01-01,周村火车站广场,117.860867,36.792197,其他,公园,傍晚,6.32
2024-01-01,周村火车站广场,117.860867,36.792197,其他,公园,下午,6.62
2024-01-01,毕自严故居,117.738277,36.677793,其他,旅游景点,深夜,6.01
2024-01-01,福门商城(特色街区·西冶街店),117.858483,36.495995,其他,商场,傍晚,7.25
2024-01-01,福门商城(特色街区·西冶街店),117.858483,36.495995,其他,商场,凌晨,4.07
2024-01-01,兰雁医院,117.8479,36.810587,其他,医院,上午,7.94
2024-01-01,温州商厦,117.958171,36.642203,其他,商场,上午,7.67
2024-01-01,泰客荣店(茂业百货泰客荣店),118.302933,36.813445,其他,商场,深夜,6.71
2024-01-01,泰客荣店(茂业百货泰客荣店),118.302933,36.813445,其他,商场,晚上,4.56
2024-01-01,淄博外语学校,118.035326,36.787985,其他,学校,下午,8.13
2024-01-01,淄博外语学校,118.035326,36.787985,其他,学校,深夜,4.28
2024-01-01,木和烤肉饭-重庆一绝渝香米线,117.852712,36.799754,其他,餐饮,深夜,4.35
2024-01-01,木和烤肉饭-重庆一绝渝香米线,117.852712,36.799754,其他,餐饮,下午,7.55
2024-01-01,马家文昌阁,117.987232,36.619682,其他,旅游景点,下午,7.01
2024-01-01,马家文昌阁,117.987232,36.619682,其他,旅游景点,傍晚,6.08
2024-01-01,东陈公园,117.880225,36.791882,其他,公园,下午,6.85
2024-01-01,东陈公园,117.880225,36.791882,其他,公园,晚上,6.49
2024-01-01,万通商城,118.050558,36.803583,其他,商场,中午,5.51
2024-01-01,沂源第一中学,118.202762,36.204404,其他,学校,晚上,5.72
2024-01-01,高青县体育馆,117.819004,37.168893,其他,体育场馆,傍晚,6.4
2024-01-01,淄博柳泉中学,117.977727,36.819203,其他,学校,凌晨,3.89
2024-01-01,淄博柳泉中学,117.977727,36.819203,其他,学校,上午,7.67
2024-01-01,机关医院,118.020029,36.83421,其他,医院,凌晨,6.05
2024-01-01,机关医院,118.020029,36.83421,其他,医院,中午,7.56
2024-01-01,素红水饺(淄博银都市场一条街店),118.077207,36.805544,其他,餐饮,下午,7.0
