日期,地点名称,经度,纬度,区域,类型,时间段,情绪值
2024-08-01,桓台实验学校,118.082203,36.967572,其他,学校,深夜,4.44
2024-08-01,海棠居(农广大厦店),118.01476,36.829155,其他,餐饮,中午,6.31
2024-08-01,稷下学宫遗址(不对外开放),118.332365,36.853936,其他,旅游景点,深夜,4.07
2024-08-01,稷下学宫遗址(不对外开放),118.332365,36.853936,其他,旅游景点,上午,5.52
2024-08-01,齐鲁石化公司党委党校,118.284505,36.817216,其他,学校,上午,6.57
2024-08-01,齐鲁石化公司党委党校,118.284505,36.817216,其他,学校,晚上,6.82
2024-08-01,仟佰汇,117.962278,36.646522,其他,商场,深夜,3.44
2024-08-01,仟佰汇,117.962278,36.646522,其他,商场,傍晚,5.66
2024-08-01,大红门(淄博张店区),118.030367,36.807949,其他,餐饮,傍晚,5.06
2024-08-01,山东工业职业学院北区,118.081257,36.886581,其他,学校,凌晨,6.24
2024-08-01,沂源县历山中学,118.161848,36.191321,其他,学校,下午,6.56
2024-08-01,沂源县历山中学,118.161848,36.191321,其他,学校,傍晚,4.41
2024-08-01,高青县实验中学,117.819735,37.165726,其他,学校,深夜,4.48
2024-08-01,高青县实验中学,117.819735,37.165726,其他,学校,上午,4.74
2024-08-01,金陵寺-伽蓝殿,118.20056,36.925468,其他,旅游景点,深夜,5.49
2024-08-01,张店区中医院,118.049972,36.800925,其他,医院,傍晚,3.79
2024-08-01,张店区中医院,118.049972,36.800925,其他,医院,凌晨,3.88
2024-08-01,十六台球器材,118.284746,36.814537,其他,体育场馆,傍晚,4.66
2024-08-01,十六台球器材,118.284746,36.814537,其他,体育场馆,晚上,2.97
2024-08-01,权记洋行,118.061074,36.80042,其他,旅游景点,深夜,5.17
2024-08-01,黄桑别院,118.025778,36.812851,其他,餐饮,深夜,3.36
2024-08-01,黄桑别院,118.025778,36.812851,其他,餐饮,中午,6.53
2024-08-01,淄博市美达菲双语高级中学,117.966026,36.815861,其他,学校,傍晚,5.55
2024-08-01,淄博市美达菲双语高级中学,117.966026,36.815861,其他,学校,深夜,6.58
2024-08-01,安澜湾,117.896269,37.260744,其他,旅游景点,上午,7.4
2024-08-01,安澜湾,117.896269,37.260744,其他,旅游景点,中午,6.83
