地点名称,类型,经度,纬度,情绪权重,地址,POI编码
百信商场,商场,118.050710,36.803084,0.7,健康街与美食街交叉口西50米,B0FFHE7211
鸿盛购物商场,商场,117.851029,36.797485,0.7,中和街8号,B0FFH65Z7D
金信购物商场(中和街),商场,117.850328,36.797387,0.7,中和街新华书店斜对过,B02150437K
淄博大成商场,商场,118.055089,36.805645,0.7,共青团西路辅路与西二路交叉口西20米,B021500FAE
缘梦购物岛,商场,118.018430,36.785623,0.7,昌国路105号,B0FFHOC6EA
奥华购物中心,商场,118.233796,36.737202,0.7,十化建建设中路5号,B02150QKZ0
欢乐城精品购物广场,商场,118.023549,36.825043,0.7,义乌小商品城停车楼,B0FFI0W8PC
奥朗特购物广场,商场,118.012429,36.810507,0.7,[],B0FFFDFIDK
彩世界精品皮草广场,商场,118.029104,36.822275,0.7,华光路116号,B02150R3EE
印象汇,商场,118.053114,36.822911,0.7,柳泉路67号,B0FFJM6EX3
桓台百货大楼,商场,118.105923,36.958434,0.7,张北路32号,B021500F9E
金桥商厦(中和街),商场,117.852231,36.797431,0.7,中和街39号,B02150437R
山东新星集团新星商厦,商场,118.023088,36.781310,0.7,南西七路附近,B0FFGACH9X
淄博国际商贸城,商场,117.994470,36.789472,0.7,昌国路88号,B021504DGF
淘宝商城(鲁中国际商贸城店),商场,117.953475,36.641625,0.7,鲁中商贸城6楼,B0FFFSS0KY
惠仟佳,商场,118.087429,36.959942,0.7,少海路35号,B021504B8Y
利群集团淄博购物广场,商场,118.060455,36.800429,0.7,商场东路2号,B021500FB7
铝城购物中心,商场,118.045266,36.753116,0.7,南定镇山铝花园路29号,B021500E13
新艺苑精品地下城,商场,118.302367,36.812951,0.7,桓公路220-2号,B02150Q88X
宝德商场,商场,117.909726,37.038757,0.7,红辛路与金马中路交叉口西80米,B021503R8O
玉龙商场,商场,118.295926,36.814766,0.7,齐园路33号,B021504BTF
亿客家购物广场,商场,118.180858,36.200662,0.7,新城路附近,B0FFHE91QI
联通路169号红星欧丽洛雅商场,商场,118.010594,36.829104,0.7,联通路与南京路交叉口西140米,B0I3F7QA6L
鲁中商业博览城,商场,118.222752,36.206168,0.7,悦庄镇新车管所北,B0FFK7MJ8K
泰东生活广场,商场,118.330347,36.816999,0.7,闻韶街道晏婴路489号,B0FFHIL4XM
第五季·玩库商业中心(博山旗舰店),商场,117.859289,36.495980,0.7,大街9号,B0FFHGJL3O
盛达商业广场,商场,117.862789,36.504028,0.7,西冶街202号,B0FFGNF1F0
东源商场,商场,118.056381,36.806026,0.7,共青团路34号,B0FFGMC64U
上海商厦,商场,117.956126,36.642076,0.7,淄川区服装城留仙湖路,B0FFGJ6A8K
淄博商厦周村家电广场,商场,117.857922,36.807819,0.7,丝绸路35号,B0FFGBNOT3
方正帝王商场,商场,118.299215,36.813297,0.7,桓公路208号,B0FFF3NQCH
万通商城,商场,118.050558,36.803583,0.7,张店区美食街84号,B02150RESJ
仟佰汇,商场,117.962278,36.646522,0.7,般阳路1号,B02150R0L9
百货大楼(振兴路),商场,118.169393,36.184316,0.7,百货大楼1楼,B021503Y98
天鹅商城,商场,117.830523,37.167515,0.7,田镇镇黄河路,B021503QXL
美达百货购物中心,商场,118.058979,36.801199,0.7,美食街1号,B021502HPK
百姓商厦,商场,117.859366,36.497653,0.7,西冶街南首1号,B02150Q7N9
银泰·金街,商场,118.034913,36.848670,0.7,鲁泰大道9号(鲁泰大道与西五路交汇处),B0FFFS6AEC
九龙商场,商场,118.078194,36.904107,0.7,西果里村,B0FFH06KVU
新星商城,商场,117.983050,36.665048,0.7,淄城路与淄川立交交叉口西200米,B0FFGLS2Z9
典雅服装商场,商场,117.988939,36.740580,0.7,梁牛路南50米,B0FFFZ37PL
盛和商场,商场,117.662941,37.107877,0.7,黑里寨镇镇中路,B02150RT9S
淄博南定百货大楼,商场,118.072634,36.727615,0.7,人民路与东一路交叉口东南40米,B021503YMB
红宝龙购物商场(东里店),商场,118.362609,36.018054,0.7,文山街与商业北街交叉口北180米,B0JUP78L18
惠仟佳超市,商场,118.087490,36.959884,0.7,少海路35号惠仟佳F1层,B0J0DCPCL6
高青万福源购物中心,商场,117.846474,37.165437,0.7,高苑路与学府路交叉口西南40米,B0HKO5HB0D
瑞苑社区团购,商场,118.048905,36.818966,0.7,柳泉路西三巷与华光路南六巷交叉口东120米,B0H6DH9O0I
淄博淄川,商场,117.961309,36.643502,0.7,般阳路与建设巷交叉口西180米,B0G0BX5VRL
淄博饭店商场,商场,118.060186,36.806071,0.7,金晶大道177号,B0FFK7XKQM
澳宝徕跨境优品体验馆(锦秋小区店),商场,118.098354,36.964971,0.7,建设街与兴桓路交叉口西100米,B0FFJCSGNK
福门商城(特色街区·西冶街店),商场,117.858483,36.495995,0.7,沿河东路71号,B0FFHNY0NL
边敏购物商场,商场,118.360844,36.016546,0.7,商业南街与商业街交叉口东40米,B0FFG85B2A
核心商城(鲁中装饰材料城店),商场,118.020410,36.785217,0.7,昌国路105号鲁中装饰博览城,B0FFF2BT5T
皇城百货大楼,商场,118.419449,36.872545,0.7,皇城镇皇城营村,B02150QIM5
金城商厦(巴黎假日·步行街店),商场,117.853002,36.797435,0.7,中和街65号盈朵内衣店,B02150437S
索镇供销大楼,商场,118.114774,36.956654,0.7,索镇大街906-920号,B021503RZJ
喜乐佳,商场,118.100012,36.958738,0.7,索镇中心大街511号,B021500FA0
亿丰商场,商场,118.002092,36.816668,0.7,重庆路亿丰大厦1-3层,B0FFFDIF48
新星商厦(商城西街),商场,117.959333,36.647242,0.7,张博路大桥北,B0FFG6QG26
成和商厦(沂源店),商场,118.170879,36.192775,0.7,健康路2号,B02150R1XN
